Monito Expense Manager,,,,
Version 8.3,,,,
Created on 13/07/2026,,,,
,,,,
Date,Category type,Category name,Note,Amount
05/02/2022,Expense,Food,Flipkart,263
06/02/2022,Expense,Shopping,Flipkart,1007
07/02/2022,Expense,Rent,Movie tickets,808
09/02/2022,Expense,Entertainment,Zomato,570
10/02/2022,Expense,Entertainment,Electricity board,1534
11/02/2022,Expense,Travel,,421
12/02/2022,Expense,Food,Zomato,112
14/02/2022,Income,Salary,,40385
15/02/2022,Expense,Travel,,312
18/02/2022,Expense,Rent,Swiggy,714
19/02/2022,Expense,Travel,Swiggy,533
20/02/2022,Expense,Rent,,1853
21/02/2022,Expense,Credit card Bill payment,Local vendor,1189
24/02/2022,Expense,Food,Swiggy,2928
23/02/2022,Expense,Travel,Zomato,294
25/02/2022,Expense,Shopping,Flipkart,1520
28/02/2022,Expense,Entertainment,Local vendor,1831
01/03/2022,Expense,Others,,2289
28/02/2022,Expense,Entertainment,Local vendor,2636
03/03/2022,Expense,Rent,BigBasket,453
05/03/2022,Expense,Clothing,,2145
04/03/2022,Expense,Others,Movie tickets,850
06/03/2022,Expense,Entertainment,Swiggy,2086
08/03/2022,Expense,Credit card Bill payment,BigBasket,65
09/03/2022,Expense,Shopping,,801
10/03/2022,Expense,Home,Ola,2630
12/03/2022,Expense,Clothing,Ola,245
12/03/2022,Expense,Entertainment,Swiggy,797
15/03/2022,Expense,Shopping,Electricity board,219
17/03/2022,Expense,Shopping,Swiggy,1771
17/03/2022,Expense,Credit card Bill payment,Amazon,2760
18/03/2022,Expense,Groceries,,2453
19/03/2022,Expense,Clothing,,2468
21/03/2022,Expense,Groceries,Local vendor,1283
22/03/2022,Expense,Groceries,Zomato,2984
23/03/2022,Expense,Credit card Bill payment,BigBasket,619
26/03/2022,Expense,Rent,Movie tickets,707
27/03/2022,Expense,Clothing,Amazon,140
27/03/2022,Expense,Travel,,2382
29/03/2022,Expense,Home,Local vendor,1688
01/04/2022,Expense,Clothing,Amazon,1221
01/04/2022,Expense,Rent,Swiggy,1389
02/04/2022,Expense,Travel,,503
04/04/2022,Expense,Rent,Movie tickets,2138
05/04/2022,Expense,Credit card Bill payment,,109
07/04/2022,Expense,Food,BigBasket,1928
09/04/2022,Income,Refund,,63015
09/04/2022,Expense,Food,Swiggy,1359
12/04/2022,Expense,Food,Zomato,2723
13/04/2022,Expense,Others,Swiggy,480
12/04/2022,Expense,Others,,500
16/04/2022,Expense,Others,Local vendor,996
17/04/2022,Expense,Clothing,,545
17/04/2022,Expense,Entertainment,Electricity board,579
20/04/2022,Expense,Clothing,BigBasket,2907
19/04/2022,Income,Salary,,58377
20/04/2022,Expense,Food,BigBasket,2261
24/04/2022,Expense,Rent,Electricity board,1786
25/04/2022,Expense,Home,Local vendor,2424
25/04/2022,Expense,Travel,Amazon,107
26/04/2022,Expense,Groceries,Flipkart,656
28/04/2022,Expense,Home,Uber,1289
29/04/2022,Expense,Food,Electricity board,1404
01/05/2022,Expense,Home,,1140
02/05/2022,Expense,Entertainment,Movie tickets,1185
02/05/2022,Expense,Entertainment,Amazon,2070
05/05/2022,Expense,Credit card Bill payment,Electricity board,2476
05/05/2022,Expense,Groceries,Electricity board,2270
06/05/2022,Expense,Entertainment,Ola,2192
10/05/2022,Expense,Shopping,Amazon,2135
11/05/2022,Expense,Groceries,Amazon,2560
12/05/2022,Expense,Entertainment,Electricity board,2559
14/05/2022,Expense,Travel,Ola,932
15/05/2022,Expense,Credit card Bill payment,Ola,658
16/05/2022,Expense,Groceries,Electricity board,259
16/05/2022,Income,Salary,,50537
19/05/2022,Expense,Travel,Swiggy,2767
18/05/2022,Expense,Shopping,Swiggy,446
20/05/2022,Expense,Food,BigBasket,160
23/05/2022,Expense,Others,,475
22/05/2022,Expense,Groceries,,1412
25/05/2022,Expense,Food,Amazon,1528
27/05/2022,Expense,Food,Flipkart,2085
26/05/2022,Income,Refund,,63309
30/05/2022,Expense,Groceries,BigBasket,388
31/05/2022,Expense,Credit card Bill payment,Movie tickets,1740
01/06/2022,Expense,Groceries,Amazon,1565
03/06/2022,Expense,Entertainment,,2465
02/06/2022,Expense,Food,BigBasket,493
04/06/2022,Expense,Food,Swiggy,1565
06/06/2022,Expense,Others,Zomato,2292
07/06/2022,Expense,Food,Ola,86
09/06/2022,Expense,Travel,Uber,93
11/06/2022,Expense,Clothing,BigBasket,992
12/06/2022,Expense,Clothing,Local vendor,1444
12/06/2022,Expense,Entertainment,Zomato,2168
15/06/2022,Expense,Travel,Ola,953
14/06/2022,Income,Refund,,54592
16/06/2022,Expense,Entertainment,Movie tickets,1949
17/06/2022,Expense,Shopping,Swiggy,2887
19/06/2022,Expense,Entertainment,Zomato,2747
19/06/2022,Expense,Others,Zomato,639
21/06/2022,Expense,Home,Amazon,1966
23/06/2022,Expense,Entertainment,Ola,1120
24/06/2022,Expense,Food,Electricity board,2372
27/06/2022,Expense,Rent,,2922
27/06/2022,Expense,Credit card Bill payment,,542
27/06/2022,Expense,Credit card Bill payment,Local vendor,137
01/07/2022,Expense,Entertainment,BigBasket,1079
01/07/2022,Expense,Entertainment,BigBasket,2977
01/07/2022,Income,Refund,,30499
03/07/2022,Expense,Clothing,Amazon,58
04/07/2022,Expense,Others,,1175
07/07/2022,Expense,Rent,Amazon,913
07/07/2022,Expense,Rent,BigBasket,851
08/07/2022,Expense,Others,Flipkart,854
10/07/2022,Expense,Others,Zomato,1264
13/07/2022,Expense,Travel,Flipkart,1786
14/07/2022,Expense,Clothing,BigBasket,479
15/07/2022,Income,Salary,,38694
16/07/2022,Expense,Others,Local vendor,2141
17/07/2022,Expense,Entertainment,Ola,2207
20/07/2022,Expense,Groceries,Local vendor,1620
19/07/2022,Income,Refund,,46133
21/07/2022,Expense,Home,Electricity board,2538
24/07/2022,Expense,Others,Zomato,2175
24/07/2022,Expense,Travel,,431
26/07/2022,Expense,Travel,Ola,1528
27/07/2022,Expense,Shopping,Amazon,2865
27/07/2022,Expense,Rent,Flipkart,366
28/07/2022,Expense,Groceries,Amazon,1691
01/08/2022,Income,Salary,,32431
31/07/2022,Expense,Credit card Bill payment,Zomato,2845
02/08/2022,Expense,Shopping,Movie tickets,1697
05/08/2022,Expense,Clothing,Movie tickets,2469
05/08/2022,Expense,Entertainment,Electricity board,231
07/08/2022,Expense,Shopping,Ola,2290
08/08/2022,Expense,Groceries,Electricity board,1071
08/08/2022,Expense,Travel,Amazon,2917
10/08/2022,Expense,Food,Movie tickets,1166
13/08/2022,Expense,Groceries,Electricity board,1011
12/08/2022,Expense,Travel,Ola,656
15/08/2022,Expense,Credit card Bill payment,Movie tickets,1153
16/08/2022,Expense,Rent,Zomato,1891
18/08/2022,Expense,Groceries,,2302
17/08/2022,Expense,Others,Swiggy,719
20/08/2022,Expense,Others,Ola,1242
20/08/2022,Expense,Travel,Swiggy,2812
23/08/2022,Expense,Entertainment,Uber,2972
25/08/2022,Expense,Food,Flipkart,595
26/08/2022,Expense,Credit card Bill payment,Local vendor,751
25/08/2022,Expense,Clothing,Swiggy,123
29/08/2022,Expense,Home,Swiggy,1709
28/08/2022,Expense,Entertainment,Electricity board,1326
30/08/2022,Expense,Shopping,Local vendor,2080
01/09/2022,Expense,Shopping,BigBasket,1607
01/09/2022,Expense,Home,BigBasket,331
04/09/2022,Expense,Rent,Swiggy,2281
06/09/2022,Expense,Shopping,Electricity board,2683
05/09/2022,Expense,Travel,Local vendor,2069
07/09/2022,Expense,Rent,Electricity board,2488
10/09/2022,Expense,Travel,BigBasket,1111
10/09/2022,Expense,Food,Uber,2201
11/09/2022,Expense,Food,,1536
14/09/2022,Expense,Food,Swiggy,1482
15/09/2022,Expense,Travel,Movie tickets,907
15/09/2022,Expense,Groceries,,2588
17/09/2022,Expense,Travel,Zomato,838
19/09/2022,Expense,Others,Zomato,1417
20/09/2022,Expense,Entertainment,Movie tickets,2378
22/09/2022,Expense,Groceries,Ola,2943
22/09/2022,Expense,Rent,Flipkart,1917
24/09/2022,Expense,Travel,Uber,1643
25/09/2022,Expense,Others,,1218
25/09/2022,Expense,Groceries,Swiggy,2362
28/09/2022,Expense,Groceries,Movie tickets,1987
29/09/2022,Expense,Entertainment,Movie tickets,2866
01/10/2022,Income,Refund,,33124
30/09/2022,Expense,Home,Local vendor,1485
03/10/2022,Expense,Groceries,Ola,2110
05/10/2022,Expense,Travel,Flipkart,1780
05/10/2022,Expense,Entertainment,Flipkart,2449
07/10/2022,Expense,Entertainment,,253
09/10/2022,Expense,Clothing,Zomato,2231
09/10/2022,Expense,Food,Movie tickets,283
10/10/2022,Expense,Credit card Bill payment,BigBasket,1732
12/10/2022,Expense,Entertainment,Uber,828
13/10/2022,Expense,Credit card Bill payment,Swiggy,285
14/10/2022,Expense,Shopping,Local vendor,587
17/10/2022,Expense,Entertainment,Uber,2115
17/10/2022,Expense,Shopping,,158
19/10/2022,Expense,Travel,Local vendor,1075
19/10/2022,Expense,Others,Uber,697
21/10/2022,Expense,Home,Local vendor,1072
23/10/2022,Expense,Credit card Bill payment,Ola,972
23/10/2022,Expense,Home,Flipkart,1574
26/10/2022,Expense,Shopping,BigBasket,467
26/10/2022,Expense,Travel,Local vendor,1483
29/10/2022,Expense,Groceries,Uber,1782
28/10/2022,Expense,Groceries,Zomato,2968
30/10/2022,Expense,Shopping,Amazon,1591
02/11/2022,Expense,Food,Swiggy,1552
04/11/2022,Expense,Groceries,BigBasket,457
05/11/2022,Expense,Travel,BigBasket,1371
05/11/2022,Expense,Groceries,Flipkart,851
08/11/2022,Expense,Travel,Amazon,360
09/11/2022,Expense,Rent,Swiggy,2446
08/11/2022,Expense,Groceries,BigBasket,1720
10/11/2022,Expense,Entertainment,Swiggy,1998
11/11/2022,Expense,Credit card Bill payment,Flipkart,2565
14/11/2022,Expense,Rent,Flipkart,740
14/11/2022,Expense,Home,Electricity board,2329
17/11/2022,Expense,Clothing,Uber,1996
17/11/2022,Expense,Rent,Electricity board,1896
18/11/2022,Expense,Clothing,Swiggy,331
21/11/2022,Expense,Clothing,Local vendor,1220
21/11/2022,Income,Refund,,64299
23/11/2022,Expense,Food,Ola,2881
23/11/2022,Expense,Credit card Bill payment,Movie tickets,2042
25/11/2022,Expense,Travel,,2857
26/11/2022,Expense,Home,Uber,2557
27/11/2022,Expense,Clothing,Amazon,1341
28/11/2022,Expense,Travel,Local vendor,130
02/12/2022,Expense,Rent,Uber,2541
03/12/2022,Expense,Rent,Local vendor,672
02/12/2022,Expense,Home,Amazon,1959
04/12/2022,Expense,Entertainment,BigBasket,2556
06/12/2022,Expense,Food,Flipkart,162
06/12/2022,Expense,Rent,Uber,1641
09/12/2022,Expense,Home,Amazon,1300
10/12/2022,Expense,Shopping,Movie tickets,472
11/12/2022,Expense,Clothing,BigBasket,2442
12/12/2022,Expense,Groceries,Ola,761
15/12/2022,Expense,Clothing,Movie tickets,1458
15/12/2022,Expense,Groceries,Flipkart,2162
18/12/2022,Expense,Rent,,2505
19/12/2022,Expense,Groceries,Zomato,933
18/12/2022,Expense,Credit card Bill payment,Movie tickets,1934
20/12/2022,Expense,Rent,Zomato,1002
21/12/2022,Expense,Credit card Bill payment,Uber,2840
24/12/2022,Expense,Others,Ola,2952
24/12/2022,Expense,Travel,Movie tickets,2107
27/12/2022,Expense,Home,BigBasket,2873
28/12/2022,Expense,Shopping,Uber,81
30/12/2022,Expense,Food,Swiggy,2151
31/12/2022,Expense,Travel,Ola,1649
31/12/2022,Expense,Home,Ola,1075
02/01/2023,Expense,Others,Electricity board,2374
02/01/2023,Expense,Entertainment,,1868
03/01/2023,Expense,Entertainment,Amazon,1999
05/01/2023,Expense,Clothing,,2337
07/01/2023,Expense,Rent,Electricity board,319
09/01/2023,Expense,Entertainment,Uber,1661
11/01/2023,Expense,Entertainment,BigBasket,552
11/01/2023,Expense,Groceries,Ola,1673
12/01/2023,Expense,Credit card Bill payment,Local vendor,2477
15/01/2023,Expense,Credit card Bill payment,,2491
15/01/2023,Expense,Groceries,Ola,475
15/01/2023,Expense,Entertainment,Zomato,342
19/01/2023,Expense,Clothing,Ola,383
18/01/2023,Expense,Travel,Movie tickets,1711
19/01/2023,Expense,Food,Local vendor,300
23/01/2023,Expense,Shopping,,2959
24/01/2023,Expense,Travel,Swiggy,611
24/01/2023,Expense,Food,Electricity board,1860
25/01/2023,Expense,Shopping,Local vendor,1016
27/01/2023,Expense,Credit card Bill payment,Amazon,1343
28/01/2023,Expense,Others,Flipkart,2703
29/01/2023,Expense,Clothing,,1682
30/01/2023,Expense,Home,Amazon,77
02/02/2023,Expense,Shopping,Uber,302
02/02/2023,Expense,Clothing,Uber,2561
03/02/2023,Income,Refund,,33251
04/02/2023,Expense,Groceries,BigBasket,774
06/02/2023,Expense,Others,Local vendor,2126
09/02/2023,Income,Refund,,35174
08/02/2023,Expense,Credit card Bill payment,,2847
12/02/2023,Expense,Rent,,2901
13/02/2023,Expense,Food,Movie tickets,518
12/02/2023,Expense,Shopping,Flipkart,1167
15/02/2023,Income,Refund,,60209
17/02/2023,Expense,Food,Local vendor,721
17/02/2023,Expense,Credit card Bill payment,Amazon,2751
20/02/2023,Expense,Entertainment,,3012
19/02/2023,Expense,Clothing,Ola,841
22/02/2023,Expense,Rent,Amazon,2706
22/02/2023,Expense,Others,Local vendor,939
23/02/2023,Expense,Entertainment,Local vendor,1828
27/02/2023,Expense,Others,,1052
27/02/2023,Expense,Rent,,2006
01/03/2023,Expense,Groceries,Electricity board,1771
01/03/2023,Expense,Entertainment,Zomato,1137
03/03/2023,Expense,Groceries,Amazon,2618
04/03/2023,Expense,Credit card Bill payment,Local vendor,636
07/03/2023,Expense,Food,Local vendor,2436
07/03/2023,Expense,Rent,,2006
08/03/2023,Expense,Others,,808
10/03/2023,Expense,Shopping,Local vendor,1068
11/03/2023,Income,Refund,,44609
11/03/2023,Expense,Groceries,Movie tickets,1648
14/03/2023,Expense,Shopping,Local vendor,1345
15/03/2023,Income,Salary,,65574
16/03/2023,Expense,Home,Local vendor,292
17/03/2023,Expense,Credit card Bill payment,,381
